order_date_key,order_date,day_of_week,day_of_year,month,quarter,year
D312,2023-11-08,2,312,11,4,2023
D313,2023-11-09,3,313,11,4,2023
D314,2023-11-10,4,314,11,4,2023
D315,2023-11-11,5,315,11,4,2023
D316,2023-11-12,6,316,11,4,2023
D317,2023-11-13,0,317,11,4,2023
D318,2023-11-14,1,318,11,4,2023
D319,2023-11-15,2,319,11,4,2023
D320,2023-11-16,3,320,11,4,2023
D321,2023-11-17,4,321,11,4,2023
D322,2023-11-18,5,322,11,4,2023
D323,2023-11-19,6,323,11,4,2023
D324,2023-11-20,0,324,11,4,2023
D325,2023-11-21,1,325,11,4,2023
D326,2023-11-22,2,326,11,4,2023
D327,2023-11-23,3,327,11,4,2023
D328,2023-11-24,4,328,11,4,2023
D329,2023-11-25,5,329,11,4,2023
D330,2023-11-26,6,330,11,4,2023
D331,2023-11-27,0,331,11,4,2023
D332,2023-11-28,1,332,11,4,2023
D333,2023-11-29,2,333,11,4,2023
D334,2023-11-30,3,334,11,4,2023
D335,2023-12-01,4,335,12,4,2023
D336,2023-12-02,5,336,12,4,2023
D337,2023-12-03,6,337,12,4,2023
D338,2023-12-04,0,338,12,4,2023
D339,2023-12-05,1,339,12,4,2023
D340,2023-12-06,2,340,12,4,2023
D341,2023-12-07,3,341,12,4,2023
D342,2023-12-08,4,342,12,4,2023
D343,2023-12-09,5,343,12,4,2023
D344,2023-12-10,6,344,12,4,2023
D345,2023-12-11,0,345,12,4,2023
D346,2023-12-12,1,346,12,4,2023
D347,2023-12-13,2,347,12,4,2023
D348,2023-12-14,3,348,12,4,2023
D349,2023-12-15,4,349,12,4,2023
D350,2023-12-16,5,350,12,4,2023
D351,2023-12-17,6,351,12,4,2023
D352,2023-12-18,0,352,12,4,2023
D353,2023-12-19,1,353,12,4,2023
D354,2023-12-20,2,354,12,4,2023
D355,2023-12-21,3,355,12,4,2023
D356,2023-12-22,4,356,12,4,2023
D357,2023-12-23,5,357,12,4,2023
D358,2023-12-24,6,358,12,4,2023
D359,2023-12-25,0,359,12,4,2023
D360,2023-12-26,1,360,12,4,2023
D361,2023-12-27,2,361,12,4,2023
D362,2023-12-28,3,362,12,4,2023
D363,2023-12-29,4,363,12,4,2023
D364,2023-12-30,5,364,12,4,2023
D365,2023-12-31,6,365,12,4,2023
